long,lat,group,order,region,subregion
-76.484222412109375,25.374608993530273,14,213,Bahamas,Eleuthera Island
-76.34379577636719,25.33203125,14,214,Bahamas,Eleuthera Island
-76.191986083984375,25.190820693969727,14,215,Bahamas,Eleuthera Island
-76.1266098022461,25.140527725219727,14,216,Bahamas,Eleuthera Island
-76.11493682861328,25.0947265625,14,217,Bahamas,Eleuthera Island
-76.1405258178711,24.885644912719727,14,218,Bahamas,Eleuthera Island
-76.1746597290039,24.759765625,14,219,Bahamas,Eleuthera Island
-76.1695327758789,24.6494140625,14,220,Bahamas,Eleuthera Island
-76.2051773071289,24.68208122253418,14,221,Bahamas,Eleuthera Island
-76.2412109375,24.754344940185547,14,222,Bahamas,Eleuthera Island
-76.30029296875,24.7958984375,14,223,Bahamas,Eleuthera Island
-76.319976806640625,24.817676544189453,14,224,Bahamas,Eleuthera Island
-76.2137680053711,24.82246208190918,14,225,Bahamas,Eleuthera Island
-76.204345703125,24.936229705810547,14,226,Bahamas,Eleuthera Island
-76.15254211425781,25.025976181030273,14,227,Bahamas,Eleuthera Island
-76.160400390625,25.119335174560547,14,228,Bahamas,Eleuthera Island
-76.2843246459961,25.22212028503418,14,229,Bahamas,Eleuthera Island
-76.3692855834961,25.312597274780273,14,230,Bahamas,Eleuthera Island
-76.4999008178711,25.341552734375,14,231,Bahamas,Eleuthera Island
-76.620697021484375,25.431640625,14,232,Bahamas,Eleuthera Island
-76.6927719116211,25.442724227905273,14,233,Bahamas,Eleuthera Island
-76.7806625366211,25.426856994628906,14,234,Bahamas,Eleuthera Island
-76.7489242553711,25.480567932128906,14,235,Bahamas,Eleuthera Island
-76.7269515991211,25.551610946655273,14,236,Bahamas,Eleuthera Island
-76.7108383178711,25.564891815185547,14,237,Bahamas,Eleuthera Island
-76.6488265991211,25.487401962280273,14,238,Bahamas,Eleuthera Island
-78.49286651611328,26.72905158996582,15,240,Bahamas,Grand Bahama Island
-78.3717269897461,26.697948455810547,15,241,Bahamas,Grand Bahama Island
-78.30683135986328,26.702198028564453,15,242,Bahamas,Grand Bahama Island
-78.2679214477539,26.72265625,15,243,Bahamas,Grand Bahama Island
-78.08866882324219,26.714305877685547,15,244,Bahamas,Grand Bahama Island
-77.9439468383789,26.744237899780273,15,245,Bahamas,Grand Bahama Island
-77.9224624633789,26.69111442565918,15,246,Bahamas,Grand Bahama Island
-77.926116943359375,26.66337776184082,15,247,Bahamas,Grand Bahama Island
-78.23388671875,26.637353897094727,15,248,Bahamas,Grand Bahama Island
-78.5162124633789,26.559375762939453,15,249,Bahamas,Grand Bahama Island
-78.67094421386719,26.50654411315918,15,250,Bahamas,Grand Bahama Island
-78.74365234375,26.500682830810547,15,251,Bahamas,Grand Bahama Island
-78.7992172241211,26.528467178344727,15,252,Bahamas,Grand Bahama Island
-78.98564910888672,26.689502716064453,15,253,Bahamas,Grand Bahama Island
-78.935791015625,26.673437118530273,15,254,Bahamas,Grand Bahama Island
-78.79804992675781,26.582422256469727,15,255,Bahamas,Grand Bahama Island
-78.7125015258789,26.599023818969727,15,256,Bahamas,Grand Bahama Island
-78.63324737548828,26.6591796875,15,257,Bahamas,Grand Bahama Island
-78.62113952636719,26.704639434814453,15,258,Bahamas,Grand Bahama Island
-78.6329574584961,26.726171493530273,15,259,Bahamas,Grand Bahama Island
-78.59711456298828,26.797950744628906,15,260,Bahamas,Grand Bahama Island
-78.49286651611328,26.72905158996582,15,261,Bahamas,Grand Bahama Island
-77.22563934326172,25.904199600219727,16,263,Bahamas,Abaco Island
-77.2464370727539,25.895458221435547,16,264,Bahamas,Abaco Island
-77.333251953125,25.99560546875,16,265,Bahamas,Abaco Island
-77.4031753540039,26.02470588684082,16,266,Bahamas,Abaco Island
-77.2939453125,26.095508575439453,16,267,Bahamas,Abaco Island
-77.24677276611328,26.156347274780273,16,268,Bahamas,Abaco Island
-77.24774932861328,26.2890625,16,269,Bahamas,Abaco Island
-77.2210922241211,26.361766815185547,16,270,Bahamas,Abaco Island
-77.2301254272461,26.424707412719727,16,271,Bahamas,Abaco Island
-77.2060546875,26.488964080810547,16,272,Bahamas,Abaco Island
-77.238616943359375,26.561132431030273,16,273,Bahamas,Abaco Island
-77.3299331665039,26.618358612060547,16,274,Bahamas,Abaco Island
-77.5105972290039,26.84599494934082,16,275,Bahamas,Abaco Island
-77.7959976196289,26.901269912719727,16,276,Bahamas,Abaco Island
-77.9437484741211,26.903564453125,16,277,Bahamas,Abaco Island
-77.862548828125,26.940088272094727,16,278,Bahamas,Abaco Island
-77.78755187988281,26.935644149780273,16,279,Bahamas,Abaco Island
-77.672119140625,26.913915634155273,16,280,Bahamas,Abaco Island
-77.53388977050781,26.903417587280273,16,281,Bahamas,Abaco Island
-77.44941711425781,26.83642578125,16,282,Bahamas,Abaco Island
-77.3687515258789,26.747608184814453,16,283,Bahamas,Abaco Island
-77.2958984375,26.711669921875,16,284,Bahamas,Abaco Island
-77.26592254638672,26.688817977905273,16,285,Bahamas,Abaco Island
-77.269287109375,26.663036346435547,16,286,Bahamas,Abaco Island
-77.2571792602539,26.638818740844727,16,287,Bahamas,Abaco Island
-77.162109375,26.597265243530273,16,288,Bahamas,Abaco Island
-77.06635284423828,26.530176162719727,16,289,Bahamas,Abaco Island
-77.03828430175781,26.33344841003418,16,290,Bahamas,Abaco Island
-77.16728973388672,26.240331649780273,16,291,Bahamas,Abaco Island
-77.1910171508789,25.955469131469727,16,292,Bahamas,Abaco Island
-77.22563934326172,25.904199600219727,16,293,Bahamas,Abaco Island
-87.852935791015625,17.4228515625,17,295,Belize,Turneffe Island
-87.92997741699219,17.283008575439453,17,296,Belize,Turneffe Island
-87.93486022949219,17.32295036315918,17,297,Belize,Turneffe Island
-87.90283203125,17.426464080810547,17,298,Belize,Turneffe Island
-87.85942077636719,17.462793350219727,17,299,Belize,Turneffe Island
